iter	Passed	Remaining
0	6	1207
1	12	1191
2	17	1153
3	23	1166
4	29	1158
5	35	1149
6	41	1149
7	47	1146
8	54	1151
9	58	1107
10	62	1067
11	65	1027
12	68	992
13	72	964
14	75	933
15	78	904
16	81	878
17	84	855
18	87	836
19	92	828
20	95	813
21	98	800
22	102	785
23	105	774
24	108	759
25	111	748
26	115	739
27	119	731
28	122	721
29	125	711
30	129	704
31	132	697
32	136	689
33	139	682
34	143	674
35	146	667
36	149	657
37	152	650
38	155	642
39	158	635
40	161	627
41	164	618
42	167	611
43	170	603
44	173	597
45	176	591
46	179	585
47	182	579
48	185	571
49	188	564
50	190	557
51	193	550
52	196	544
53	198	537
54	201	531
55	204	526
56	207	521
57	211	517
58	214	512
59	217	508
60	220	503
61	224	499
62	227	494
63	231	492
64	235	488
65	239	485
66	242	482
67	245	477
68	248	472
69	252	468
70	255	464
71	259	460
72	262	456
73	266	453
74	269	449
75	273	446
76	277	443
77	279	437
78	282	432
79	286	429
80	289	424
81	292	420
82	295	415
83	298	411
84	301	408
85	305	404
86	308	401
87	312	397
88	314	392
89	318	388
90	321	385
91	324	381
92	327	377
93	331	373
94	334	369
95	338	366
96	341	362
97	345	359
98	348	355
99	350	350
100	353	346
101	356	342
102	360	339
103	363	335
104	367	332
105	370	328
106	373	324
107	376	320
108	379	316
109	383	313
110	386	309
111	390	306
112	393	303
113	396	299
114	399	294
115	402	291
116	407	288
117	410	285
118	413	281
119	417	278
120	421	274
121	424	271
122	428	267
123	431	264
124	433	260
125	436	256
126	439	252
127	442	248
128	445	245
129	448	241
130	451	237
131	454	234
132	457	230
133	460	226
134	463	223
135	466	219
136	469	215
137	472	212
138	476	208
139	479	205
140	483	202
141	487	198
142	490	195
143	494	192
144	498	189
145	502	185
146	506	182
147	509	179
148	513	175
149	517	172
150	520	168
151	524	165
152	527	161
153	530	158
154	534	155
155	537	151
156	540	147
157	543	144
158	546	140
159	549	137
160	552	133
161	555	130
162	559	126
163	562	123
164	565	119
165	568	116
166	571	112
167	574	109
168	578	106
169	581	102
170	584	99
171	587	95
172	591	92
173	594	88
174	598	85
175	601	82
176	604	78
177	608	75
178	611	71
179	615	68
180	618	64
181	622	61
182	626	58
183	629	54
184	633	51
185	637	47
186	640	44
187	643	41
188	646	37
189	650	34
190	653	30
191	656	27
192	659	23
193	662	20
194	665	17
195	668	13
196	671	10
197	674	6
198	678	3
199	681	0
